timestep,totalHeight,momentumX,momentumY
61.6366,-0.844444,-0.0274226,0.00592148
120.338,-0.840174,-0.0466501,0.00957533
181.975,-0.834845,-0.0627556,0.0118293
240.676,-0.829014,-0.0760174,0.0130045
302.313,-0.822166,-0.0889356,0.0136902
361.015,-0.814892,-0.100861,0.0141228
422.652,-0.806503,-0.113296,0.0145107
481.353,-0.7978,-0.125175,0.0148939
540.055,-0.788347,-0.137093,0.0153444
601.691,-0.777647,-0.149534,0.0158428
660.392,-0.766737,-0.161346,0.0163483
722.028,-0.754484,-0.173585,0.016867
780.73,-0.74213,-0.185104,0.0174111
842.366,-0.728376,-0.197072,0.0180172
901.067,-0.714584,-0.208372,0.0186546
962.703,-0.699331,-0.220203,0.0193353
1021.4,-0.684101,-0.231513,0.0200119
1080.11,-0.668144,-0.242921,0.0206366
1141.74,-0.650639,-0.255146,0.0212408
1200.44,-0.633202,-0.267158,0.0217385
1262.08,-0.614052,-0.280168,0.0221102
1320.78,-0.595058,-0.293059,0.0223167
1382.42,-0.574236,-0.307221,0.022326
1441.12,-0.553553,-0.321338,0.0220268
1502.75,-0.53092,-0.336873,0.0213323
1561.46,-0.50849,-0.352424,0.0202845
1620.16,-0.485167,-0.368808,0.0188512
1681.79,-0.459682,-0.387074,0.0168851
1740.49,-0.434397,-0.405747,0.014551
1802.13,-0.406698,-0.42716,0.011636
1860.83,-0.379063,-0.449941,0.00841873
1922.47,-0.348518,-0.477378,0.00460629
1981.17,-0.317663,-0.508188,0.000673235
2042.8,-0.282932,-0.547347,-0.00366778
2101.51,-0.247034,-0.593376,-0.00786692
2160.21,-0.207596,-0.650629,-0.011954
2221.84,-0.161301,-0.726299,-0.0158865
2280.54,-0.111267,-0.816934,-0.0189854
2342.18,-0.0508251,-0.935998,-0.0212122
2400.88,0.0161152,-1.07648,-0.0219741
2462.52,0.0985336,-1.25697,-0.0209047
2521.22,0.190916,-1.46406,-0.017658
2582.86,0.30517,-1.7215,-0.0113819
2641.56,0.432955,-2.00599,-0.00217989
2700.26,0.581575,-2.32764,0.0106277
2761.89,0.762175,-2.70062,0.028352
2820.6,0.958899,-3.08081,0.0496001
2882.23,1.19188,-3.49183,0.0765755
2940.93,1.43802,-3.87582,0.106504
3002.57,1.71935,-4.246,0.141799
3061.27,2.00484,-4.53972,0.178126
3122.91,2.3166,-4.75527,0.217654
3181.61,2.61723,-4.84415,0.254904
3240.31,2.91262,-4.79635,0.289841
3301.95,3.20671,-4.58207,0.321873
3360.65,3.46133,-4.2152,0.345962
3422.28,3.69153,-3.66392,0.362758
3480.98,3.86675,-2.99602,0.369385
3542.62,3.99699,-2.1708,0.365737
3601.32,4.06479,-1.29791,0.351979
3660.02,4.07486,-0.373807,0.328553
3721.66,4.02248,0.614798,0.294375
3780.36,3.91392,1.54078,0.253819
3842,3.7415,2.46582,0.204207
3900.7,3.5261,3.27803,0.151764
3962.33,3.25212,4.03925,0.0928446
4021.03,2.95197,4.66439,0.034583
4082.67,2.60293,5.20794,-0.0273739
4141.37,2.24522,5.61501,-0.0858539
4200.07,1.86964,5.91445,-0.142753
4261.71,1.46321,6.1161,-0.199874
4320.41,1.07114,6.20551,-0.251117
4382.05,0.660788,6.19794,-0.301144
4440.75,0.276937,6.10062,-0.344978
4502.38,-0.113165,5.91087,-0.387022
4561.09,-0.467543,5.65329,-0.423458
4622.72,-0.816954,5.30875,-0.458289
4681.42,-1.12418,4.91597,-0.488663
4740.12,-1.40304,4.46563,-0.516822
4801.76,-1.66209,3.9367,-0.544581
4860.46,-1.87406,3.38534,-0.569802
4922.1,-2.05784,2.76315,-0.595431
4980.8,-2.19439,2.13665,-0.619315
5042.44,-2.29631,1.45226,-0.643856
5101.14,-2.35364,0.785259,-0.666477
5162.77,-2.3726,0.0815572,-0.688851
5221.47,-2.35266,-0.578292,-0.707991
5280.17,-2.29769,-1.21344,-0.723857
5341.81,-2.20535,-1.8371,-0.735493
5400.51,-2.08813,-2.37386,-0.740144
5462.15,-1.93896,-2.86106,-0.736476
5520.85,-1.77703,-3.23879,-0.72321
5582.49,-1.59184,-3.53327,-0.697571
5641.19,-1.4066,-3.70913,-0.661005
5702.82,-1.20877,-3.78033,-0.609344
5761.52,-1.02261,-3.74091,-0.547692
5820.23,-0.84362,-3.60152,-0.47467
5881.86,-0.668257,-3.35631,-0.387294
5940.56,-0.517237,-3.03986,-0.295911
6002.2,-0.379082,-2.63486,-0.193944
6060.9,-0.269575,-2.19461,-0.0937704
6122.54,-0.179817,-1.69135,0.0116372
6181.24,-0.119568,-1.18805,0.109543
6242.87,-0.0833721,-0.649701,0.207064
6301.58,-0.0745735,-0.140685,0.292728
6360.28,-0.0901966,0.353414,0.3696
6421.91,-0.131697,0.845757,0.439386
6480.61,-0.193583,1.28119,0.494515
6542.25,-0.280039,1.69626,0.539949
6600.95,-0.380659,2.04641,0.571185
6662.59,-0.502974,2.36285,0.591533
6721.29,-0.632807,2.61306,0.599515
6779.99,-0.773085,2.81199,0.59708
6841.63,-0.928753,2.96511,0.584225
6900.33,-1.08222,3.05791,0.563165
6961.96,-1.24586,3.10029,0.532962
7020.66,-1.4013,3.08913,0.497613
7082.3,-1.56112,3.0245,0.454809
7141,-1.70734,2.91392,0.409702
7202.64,-1.8517,2.74782,0.358978
7261.34,-1.9778,2.54356,0.308519
7320.04,-2.09024,2.29598,0.256936
7381.68,-2.191,1.99143,0.202571
7440.38,-2.26812,1.66113,0.151539
7502.01,-2.32693,1.27492,0.0997125
7560.72,-2.35983,0.872956,0.0529275
7622.35,-2.36823,0.419522,0.00748205
7681.05,-2.34991,-0.0369501,-0.0314117
7742.69,-2.30195,-0.535197,-0.0667061
7801.39,-2.22837,-1.01999,-0.094154
7860.09,-2.12752,-1.50593,-0.114774
7921.73,-1.99291,-2.00659,-0.128233
7980.43,-1.83856,-2.46308,-0.132594
8042.06,-1.65103,-2.90852,-0.127754
8100.77,-1.45069,-3.2888,-0.113878
8162.4,-1.2208,-3.63023,-0.0895778
8221.11,-0.986847,-3.89071,-0.0574986
8282.75,-0.729712,-4.0882,-0.0151642
8341.47,-0.478119,-4.19893,0.0323839
8400.18,-0.224234,-4.23214,0.0856487
8461.82,0.0402889,-4.18456,0.146019
8520.53,0.28615,-4.06447,0.20584
8582.18,0.53389,-3.86668,0.268967
8640.89,0.75654,-3.6185,0.327338
8702.54,0.973316,-3.30567,0.384685
8761.25,1.16124,-2.96878,0.433721
8822.9,1.33722,-2.58599,0.477765
8881.61,1.4833,-2.20453,0.511342
8940.32,1.60771,-1.81644,0.53584
9001.96,1.71481,-1.41133,0.551183
9060.67,1.79461,-1.03569,0.555732
9122.32,1.85572,-0.658906,0.550095
9181.03,1.89322,-0.322008,0.535223
9242.68,1.91207,0.00462711,0.510296
9301.39,1.91178,0.287304,0.478566
9363.04,1.89386,0.552703,0.437988
9421.75,1.86154,0.775036,0.39351
9480.46,1.81585,0.967963,0.344484
9542.1,1.7551,1.13987,0.289334
9600.82,1.68659,1.27582,0.234468
9662.46,1.60503,1.39132,0.175547
9721.17,1.51957,1.47743,0.119172
9782.82,1.42305,1.54507,0.0607219
9841.53,1.32589,1.59004,0.00658516
9900.24,1.22471,1.61819,-0.0454243
9961.89,1.11522,1.63187,-0.097109
10020.6,1.00878,1.63171,-0.143029
10082.2,0.895672,1.61966,-0.187345
10141,0.787437,1.5985,-0.22553
10202.6,0.674004,1.56766,-0.261158
10261.3,0.566814,1.53141,-0.290712
10323,0.455767,1.48728,-0.317076
10381.7,0.351954,1.44051,-0.337733
10440.4,0.250505,1.38993,-0.354085
10502,0.146948,1.3335,-0.366736
10560.7,0.0515232,1.27719,-0.374582
10622.4,-0.0449448,1.21598,-0.378627
10681.1,-0.132996,1.1562,-0.37868
10742.7,-0.221149,1.09232,-0.374997
10801.5,-0.3008,1.03081,-0.368197
10863.1,-0.379723,0.965781,-0.35789
10921.8,-0.450251,0.903675,-0.345372
10980.5,-0.51614,0.841574,-0.330534
11042.2,-0.580223,0.77647,-0.312829
11100.9,-0.636333,0.714611,-0.294302
11162.5,-0.690016,0.649741,-0.273505
11221.2,-0.736116,0.587936,-0.252802
11282.9,-0.779215,0.522875,-0.230571
11341.6,-0.815191,0.460531,-0.209299
11403.2,-0.847637,0.394403,-0.187288
11462,-0.873453,0.330543,-0.167044
11520.7,-0.894312,0.265559,-0.147893
11582.3,-0.9109,0.19589,-0.129321
11641,-0.921663,0.127962,-0.113416
11702.7,-0.9277,0.0548068,-0.0989241
11761.4,-0.928482,-0.0166785,-0.0875293
11823,-0.92416,-0.0936542,-0.0783226
11881.7,-0.915207,-0.168712,-0.072306
11943.4,-0.900829,-0.249119,-0.0690502
12002.1,-0.88253,-0.326911,-0.0689029
12060.8,-0.859865,-0.405533,-0.0716054
12122.5,-0.831551,-0.488489,-0.0774086
12181.2,-0.80048,-0.567286,-0.0856242
12242.8,-0.763756,-0.649118,-0.0968298
12301.5,-0.725143,-0.725465,-0.109683
12363.2,-0.681053,-0.803198,-0.125099
12421.9,-0.635965,-0.874109,-0.141197
12483.5,-0.585699,-0.944487,-0.159144
12542.2,-0.535366,-1.00683,-0.176766
12600.9,-0.482948,-1.06393,-0.1944
12662.6,-0.42602,-1.11758,-0.212395
12721.3,-0.370329,-1.16212,-0.228543
12782.9,-0.310663,-1.20153,-0.24394
12841.7,-0.253008,-1.23174,-0.256676
12903.3,-0.191914,-1.25556,-0.267579
12962,-0.133469,-1.27071,-0.275233
